City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
308,Pontes E Lacerda,BR,78.55,scattered clouds,-15.2261,-59.3353,Hotel Bressan
314,Gigmoto,PH,77.04,overcast clouds,13.7796,124.39,Cj's Travellers Inn
315,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
317,Kahului,US,82.42,clear sky,20.8947,-156.47,Maui Seaside Hotel
326,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
341,Isangel,VU,87.91,broken clouds,-19.55,169.2667,Tanna Lodge
343,Semirara,PH,78.58,scattered clouds,12.0697,121.3986,Magatao palace
344,Iracoubo,GF,76.5,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
345,Carnarvon,AU,77.76,clear sky,-24.8667,113.6333,Hospitality Carnarvon
349,Bandarbeyla,SO,75.78,few clouds,9.4942,50.8122,JABIR HOTEL
351,Tadine,NC,80.76,overcast clouds,-21.55,167.8833,
354,Presidencia Roque Saenz Pena,AR,79.23,clear sky,-26.7852,-60.4388,Hotel Gualok
363,Codrington,AU,89.08,clear sky,-38.2667,141.9667,
369,Manokwari,ID,80.33,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
372,Cap Malheureux,MU,77.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
375,Kuala Terengganu,MY,80.98,thunderstorm with heavy rain,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
376,Ambunti,PG,85.98,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
377,Thinadhoo,MV,79.92,overcast clouds,0.5333,72.9333,
378,Mahina,PF,85.77,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
404,Garissa,KE,77.34,few clouds,-0.4536,39.6401,Safari Hotel
407,The Valley,AI,75.34,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
413,Hobyo,SO,77.07,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
419,Tucuma,BR,77.74,overcast clouds,-0.1833,-50.05,
424,Gamba,GA,76.17,moderate rain,-2.65,10.0,
427,Dzaoudzi,YT,82.29,few clouds,-12.7887,45.2699,Le Rocher
436,Makakilo City,US,82.44,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
437,Axim,GH,79.02,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
