City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
147,Chardara,KZ,2022-12-19 01:08:10,41.2547,67.9692,36.32,72,83,4.32
148,Salamiyah,SY,2022-12-19 01:08:11,35.0113,37.0532,50.45,54,0,3.6
149,Aden,YE,2022-12-19 01:08:11,12.7794,45.0367,76.73,58,0,6.26
150,Mount Gambier,AU,2022-12-19 01:02:04,-37.8333,140.7667,75.16,37,0,5.21
151,La Ronge,CA,2022-12-19 01:08:12,55.1001,-105.2842,-6.05,88,100,9.66
152,Maceio,BR,2022-12-19 01:08:13,-9.6658,-35.7353,74.64,88,40,3.44
153,Sumenep,ID,2022-12-19 01:08:13,-7.0167,113.8667,83.53,68,100,2.98
154,Encrucijada,CU,2022-12-19 01:08:14,22.6169,-79.8711,73.96,88,20,2.3
155,Mataura,NZ,2022-12-19 01:01:50,-46.1927,168.8643,56.48,69,100,4.25
156,Saint-Philippe,RE,2022-12-19 01:00:43,-21.3585,55.7679,74.79,84,53,13.29
157,Avera,US,2022-12-19 01:08:15,33.194,-82.5271,36.91,54,0,6.42
158,Meulaboh,ID,2022-12-19 01:08:15,4.1363,96.1285,76.32,89,100,6.11
159,Pisco,PE,2022-12-19 01:08:16,-13.7,-76.2167,69.85,83,0,16.11
160,North Bend,US,2022-12-19 01:07:31,43.4065,-124.2243,46.31,76,100,4.61
161,Cabo San Lucas,MX,2022-12-19 00:58:49,22.8909,-109.9124,71.62,74,54,0.67
162,Guerrero Negro,MX,2022-12-19 01:08:17,27.9769,-114.0611,60.76,55,0,10.45
163,Bluff,NZ,2022-12-19 01:01:55,-46.6,168.3333,56.8,76,100,11.01
164,Ulladulla,AU,2022-12-19 01:08:18,-35.35,150.4667,63.88,56,81,13.44
165,Lixourion,GR,2022-12-19 01:08:18,38.2019,20.4314,60.84,84,58,11.36
166,Nyurba,RU,2022-12-19 01:08:19,63.2842,118.3319,-42.2,100,98,5.08
167,Port Alfred,ZA,2022-12-19 01:03:24,-33.5906,26.891,60.19,95,0,3.78
168,Beringovskiy,RU,2022-12-19 01:00:41,63.05,179.3167,31.62,89,100,18.59
169,Klyuchi,RU,2022-12-19 01:08:20,52.2667,79.1667,3.92,95,100,8.08
170,Iqaluit,CA,2022-12-19 01:03:28,63.7506,-68.5145,12.58,90,100,1.54
171,Mnogovershinnyy,RU,2022-12-19 01:08:21,53.9353,139.9242,-8.28,82,34,7.16
172,Vanderhoof,CA,2022-12-19 01:08:22,54.0166,-124.0198,-8.39,84,85,5.48
173,Waw,SS,2022-12-19 01:08:22,7.7029,27.9953,76.37,33,99,4.99
174,Mount Isa,AU,2022-12-19 01:00:15,-20.7333,139.5,87.57,48,40,16.11
175,Rocha,UY,2022-12-19 01:08:24,-34.4833,-54.3333,63.64,75,0,12.3
176,Olafsvik,IS,2022-12-19 01:08:24,64.8945,-23.7142,26.29,73,100,41.27
177,Rosarito,MX,2022-12-19 01:08:25,32.3333,-117.0333,58.66,73,0,1.81
178,Uruacu,BR,2022-12-19 01:08:25,-14.5247,-49.1408,68.13,98,35,1.95
179,Nikolskoye,RU,2022-12-19 01:02:02,59.7035,30.7861,31.91,92,100,12.08
180,Hithadhoo,MV,2022-12-19 01:00:22,-0.6,73.0833,80.92,74,100,8.81
