City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
133,Kalabo,ZM,-14.97,22.6814,68.92,85,100,3.69,overcast clouds
134,Pevek,RU,69.7008,170.3133,-10.91,95,100,4.47,overcast clouds
135,Tablas,PH,6.6292,122.1747,74.32,80,100,10.22,overcast clouds
136,Lima,PE,-12.0432,-77.0282,75.9,68,40,11.5,scattered clouds
137,Dalvik,IS,65.9702,-18.5286,31.93,96,100,4.68,light snow
138,Pokhara,NP,28.2333,83.9833,54.05,16,0,6.22,clear sky
139,Mount Isa,AU,-20.7333,139.5,78.57,89,40,5.75,scattered clouds
140,Tiksi,RU,71.6872,128.8694,-40.54,100,77,3.06,broken clouds
141,Saint George,US,37.1041,-113.5841,55.44,59,0,3.44,clear sky
142,Barrow,US,71.2906,-156.7887,-12.98,77,0,13.8,haze
143,Lao Cai,VN,22.4833,103.95,54.81,88,0,1.25,clear sky
144,Sao Filipe,CV,14.8961,-24.4956,73.11,67,8,16.26,clear sky
145,Kharp,RU,66.8014,65.8081,-31.59,97,14,4.54,few clouds
146,Hervey Bay,AU,-25.2986,152.8535,80.02,72,50,10.0,scattered clouds
147,Port Alfred,ZA,-33.5906,26.891,62.19,94,64,9.44,broken clouds
148,Westport,US,41.1415,-73.3579,42.1,73,0,7.0,clear sky
149,Marsh Harbour,BS,26.5412,-77.0636,70.68,61,0,12.33,clear sky
150,Khatanga,RU,71.9667,102.5,-30.03,99,100,1.63,overcast clouds
151,Katsuura,JP,35.1333,140.3,45.01,56,1,9.08,clear sky
152,Bilma,NE,18.6853,12.9164,64.85,29,27,8.14,scattered clouds
153,Thompson,CA,55.7435,-97.8558,1.56,85,20,3.44,few clouds
154,Port Elizabeth,ZA,-33.918,25.5701,68.09,94,63,1.99,broken clouds
155,Maiduguri,NG,11.8464,13.1603,64.65,25,7,7.81,clear sky
156,Kailua,US,21.4022,-157.7394,83.61,65,35,5.01,scattered clouds
157,Severo-Kurilsk,RU,50.6789,156.125,26.37,61,92,17.92,light snow
158,Port Blair,IN,11.6667,92.75,73.44,94,40,2.3,mist
159,Iqaluit,CA,63.7506,-68.5145,-15.07,76,75,24.16,light snow
160,Saint-Augustin,CA,51.226,-58.6502,15.71,81,95,1.07,overcast clouds
161,Vanavara,RU,60.34,102.2797,-20.0,99,83,4.99,broken clouds
162,Ornes,NO,66.8689,13.7078,19.85,74,73,16.31,broken clouds
163,Ulladulla,AU,-35.35,150.4667,66.65,55,86,6.17,overcast clouds
164,Mazamari,PE,-11.3258,-74.5308,75.99,69,60,1.63,broken clouds
165,Port Hardy,CA,50.6996,-127.4199,48.38,81,75,3.44,light rain
166,Inirida,CO,3.8653,-67.9239,69.31,98,100,1.72,overcast clouds
167,Pajarito,CO,5.2929,-72.7028,69.21,92,98,1.9,light rain
168,Bredasdorp,ZA,-34.5322,20.0403,64.0,77,22,5.66,few clouds
169,Camaqua,BR,-30.8511,-51.8122,71.01,67,40,9.04,scattered clouds
170,Linxia,CN,35.6003,103.2064,28.8,20,9,3.69,clear sky
171,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,85,100,8.05,light snow
172,Beloha,MG,-25.1667,45.05,75.87,81,96,3.13,overcast clouds
173,Provideniya,RU,64.3833,-173.3,-0.06,94,59,9.98,broken clouds
174,Hay River,CA,60.8156,-115.7999,3.18,85,20,0.0,few clouds
175,Komsomolskiy,UZ,40.4272,71.7189,34.52,80,39,6.91,scattered clouds
176,Comodoro Rivadavia,AR,-45.8667,-67.5,85.86,25,0,10.36,clear sky
177,Borogontsy,RU,62.6683,131.1683,-41.58,99,81,4.85,broken clouds
178,Hovd,MN,48.0056,91.6419,10.63,73,4,3.74,clear sky
179,Ust-Tsilma,RU,65.441,52.1498,-41.42,100,57,2.93,broken clouds
180,Fare,PF,-16.7,-151.0167,81.05,71,23,3.98,light rain
181,Launceston,AU,-41.45,147.1667,66.61,63,100,8.05,overcast clouds
182,Albion,US,42.2431,-84.753,30.38,82,100,4.61,overcast clouds
183,Skelleftea,SE,64.7507,20.9528,21.99,100,100,8.05,light snow
184,Basco,PH,20.4487,121.9702,74.46,77,72,22.53,broken clouds
185,Gotsu,JP,35.0,132.2167,48.02,65,90,9.78,overcast clouds
186,Biltine,TD,14.5333,20.9167,65.21,19,11,7.27,few clouds
187,Aksu,CN,41.1231,80.2644,27.14,39,83,2.57,broken clouds
188,Kodiak,US,57.79,-152.4072,31.51,74,0,19.57,clear sky
189,Balykshi,KZ,47.0667,51.8667,-2.2,78,0,17.9,clear sky
190,Zhukovka,RU,53.534,33.728,-3.73,93,42,3.06,scattered clouds
191,Kavieng,PG,-2.5744,150.7967,84.4,71,62,6.64,broken clouds
192,Bonthe,SL,7.5264,-12.505,76.69,78,7,6.35,clear sky
193,Nouakchott,MR,18.0858,-15.9785,71.53,31,100,10.04,overcast clouds
194,Saint-Pierre,RE,-21.3393,55.4781,76.68,65,75,5.75,broken clouds
195,Jamestown,US,42.097,-79.2353,35.19,72,100,8.05,light snow
196,Lerwick,GB,60.1545,-1.1494,48.2,82,65,27.54,broken clouds
197,Tsiroanomandidy,MG,-18.7667,46.0333,67.57,92,90,2.17,overcast clouds
198,Souillac,MU,-20.5167,57.5167,77.38,83,40,4.61,scattered clouds
199,Roma,US,43.2128,-75.4557,33.08,82,0,10.36,clear sky
200,Kanturk,IE,52.1667,-8.9,45.21,83,97,16.24,overcast clouds
201,Biak,ID,-0.9131,122.8766,80.04,74,100,3.36,overcast clouds
202,Itaqui,BR,-29.1253,-56.5531,85.64,20,40,14.81,scattered clouds
203,Cherskiy,RU,68.75,161.3,-23.73,97,100,4.63,overcast clouds
204,Zhatay,RU,62.1594,129.8294,-48.95,65,99,2.24,fog
205,Hereford,GB,52.0568,-2.7148,49.05,90,87,3.0,overcast clouds
206,Srandakan,ID,-7.9386,110.2506,77.92,82,64,3.02,broken clouds
207,Darnah,LY,32.767,22.6367,57.96,76,30,5.93,light rain
208,Kambove,CD,-10.8764,26.5969,60.82,97,100,1.95,light rain
209,Eyl,SO,7.9803,49.8164,74.46,82,11,13.62,few clouds
210,Kemi,FI,65.8596,24.8228,11.97,85,0,9.22,clear sky
211,Kalevala,RU,65.2,31.1667,-4.23,100,99,2.3,overcast clouds
212,Ahipara,NZ,-35.1667,173.1667,74.82,67,5,5.97,clear sky
213,Quthing,LS,-30.4,27.7003,55.58,75,1,3.87,clear sky
214,Uyuni,BO,-20.4597,-66.825,54.03,56,60,16.96,broken clouds
215,Leningradskiy,RU,69.3833,178.4167,-19.79,96,86,5.37,overcast clouds
216,Juba,SS,4.8517,31.5825,75.78,32,49,3.67,scattered clouds
217,Abha,SA,18.2164,42.5053,46.65,93,0,0.0,clear sky
218,Kenora,CA,49.8167,-94.4337,14.97,92,40,15.01,scattered clouds
219,Aksha,RU,50.2814,113.2867,0.97,84,1,6.29,clear sky
220,Kununurra,AU,-15.7667,128.7333,82.38,78,2,8.05,clear sky
221,Mount Pleasant,US,32.7941,-79.8626,57.34,72,20,1.01,few clouds
222,Linkou,CN,45.3,130.2833,-7.65,99,88,2.62,overcast clouds
223,Westerland,DE,54.9079,8.3033,46.02,93,100,23.02,overcast clouds
224,Richmond,US,37.5538,-77.4603,44.17,67,0,3.44,clear sky
225,Forbes,AU,-33.3833,148.0167,79.66,30,0,3.8,clear sky
226,Isetskoye,RU,56.4858,65.3226,-14.89,98,88,7.02,overcast clouds
227,San Patricio,US,28.017,-97.5169,78.17,86,59,10.76,broken clouds
228,Lazaro Cardenas,MX,17.9583,-102.2,80.29,66,0,6.98,clear sky
229,Ponta Do Sol,PT,32.6667,-17.1,66.0,73,45,5.93,scattered clouds
230,Yumen,CN,40.2833,97.2,23.16,34,60,7.29,broken clouds
231,Arica,CL,-18.475,-70.3042,74.75,73,0,8.05,clear sky
